datahora_extracao,indicador,valor,unidade,fonte
26/07/2026 13:27,Nível Guaiba_PortoAlegre_CaisMaua,1.82,m,ANA / fallback
26/07/2026 13:27,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.31,m/48h,ANA
26/07/2026 13:27,Nível Rio_Gravatai,4.62,m,ANA / fallback
26/07/2026 13:27,Tendência 48h Rio_Gravatai,0.14,m/48h,ANA
26/07/2026 13:27,Nível Rio_dos_Sinos_SaoLeopoldo,4.55,m,ANA / fallback
26/07/2026 13:27,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.22,m/48h,ANA
26/07/2026 13:27,Nível Rio_Cai,4.87,m,ANA / fallback
26/07/2026 13:27,Tendência 48h Rio_Cai,-2.98,m/48h,ANA
26/07/2026 13:27,Nível Rio_Cai_Montenegro,3.74,m,ANA / fallback
26/07/2026 13:27,Tendência 48h Rio_Cai_Montenegro,-2.37,m/48h,ANA
26/07/2026 13:27,Nível Rio_Cai_NovaPalmira,1.74,m,ANA / fallback
26/07/2026 13:27,Tendência 48h Rio_Cai_NovaPalmira,-0.23,m/48h,ANA
26/07/2026 13:27,Nível Rio_Jacui_Triunfo,9.11,m,ANA / fallback
26/07/2026 13:27,Tendência 48h Rio_Jacui_Triunfo,0.89,m/48h,ANA
26/07/2026 13:27,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
26/07/2026 13:27,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
26/07/2026 13:27,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
26/07/2026 13:27,acumulado_obs_24h_mm,4.0,mm,Open-Meteo
26/07/2026 13:27,acumulado_obs_72h_mm,6.2,mm,Open-Meteo
26/07/2026 13:27,acumulado_obs_7d_mm,125.1,mm,Open-Meteo
26/07/2026 13:27,previsto_24h_mm,3.3,mm,Open-Meteo
26/07/2026 13:27,previsto_48h_mm,16.1,mm,Open-Meteo
26/07/2026 13:27,previsto_72h_mm,60.0,mm,Open-Meteo
26/07/2026 13:27,dias_chuva_intensa_5d,0,dias,Open-Meteo
26/07/2026 13:27,Aviso INMET (máx severidade),,-,INMET
26/07/2026 13:27,Qtd avisos INMET vigentes,0,un,INMET
26/07/2026 13:27,Alerta Poaclima vigente,,-,Poaclima
26/07/2026 13:27,Chuva acumulada Poaclima,,mm,Poaclima
26/07/2026 13:27,Nível Usina do Gasômetro (Poaclima),1.28,m,Poaclima
26/07/2026 13:27,Nível Cais Mauá (Poaclima),1.85,m,Poaclima
26/07/2026 13:27,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
26/07/2026 13:27,Alertas regionais vigentes (Defesa Civil),3,un,Poaclima
26/07/2026 13:27,Alerta regional — (17) Ilhas,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 13:27,Alerta regional — (15) Sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 13:27,Alerta regional — (13) Extremo sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
